Trial_Name;Dataset;Pruned;accuracy;precision;recall;f1;f2;mcc;S;test_accuracy;test_precision;test_recall;test_f1;test_f2;test_mcc;test_S;mcc_normalized;test_mcc_normalized
BERT_CNN_Trial_0_2024-12-28_23-02-41;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,893333333;0,777777778;1;0,875;0,945945946;0,803361731;0,874653838;0,893333333;0,855670103;0,976470588;0,912087912;0,949656751;0,788998281;0,869327516;;
BERT_CNN_Trial_1_2024-12-28_23-03-48;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,373333333;0,373333333;1;0,54368932;0,748663102;0;0,374331551;0,566666667;0,566666667;1;0,723404255;0,867346939;0;0,433673469;;
BERT_CNN_Trial_2_2024-12-28_23-04-11;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,9;0,836065574;0,910714286;0,871794872;0,894736842;0,792014245;0,843375543;0,88;0,876404494;0,917647059;0,896551724;0,909090909;0,755004347;0,832047628;;
BERT_CNN_Trial_3_2024-12-28_23-04-58;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,893333333;0,8125;0,928571429;0,866666667;0,902777778;0,783255493;0,843016635;0,913333333;0,918604651;0,929411765;0,923976608;0,927230047;0,823285562;0,875257804;;
BERT_CNN_Trial_4_2024-12-28_23-05-56;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_0_2024-12-29_00-53-58;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,573333333;0,466666667;1;0,636363636;0,813953488;0,385922492;0,59993799;0,693333333;0,651162791;0,988235294;0,785046729;0,895522388;0,422617146;0,659069767;;
BERT_CNN_Trial_1_2024-12-29_00-54-36;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,74;0,593406593;0,964285714;0,734693878;0,857142857;0,565060938;0,711101898;0,813333333;0,76146789;0,976470588;0,855670103;0,924276169;0,640970612;0,782623391;;
BERT_CNN_Trial_2_2024-12-29_00-55-09;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,513333333;0,428571429;0,910714286;0,582857143;0,743440233;0,223750826;0,48359553;0,66;0,628787879;0,976470588;0,764976959;0,879237288;0,339481218;0,609359253;;
BERT_CNN_Trial_0_2024-12-30_14-55-31;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,833333333;0,718309859;0,910714286;0,803149606;0,86440678;0,6761429;0,851239115;0,846666667;0,822916667;0,929411765;0,872928177;0,905963303;0,689489614;0,875354055;0,83807145;0,844744807
BERT_CNN_Trial_1_2024-12-30_14-56-43;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,873333333;0,793650794;0,892857143;0,840336134;0,871080139;0,739471428;0,870407927;0,88;0,876404494;0,917647059;0,896551724;0,909090909;0,755004347;0,893296541;0,869735714;0,877502173
BERT_CNN_Trial_2_2024-12-30_14-57-33;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,913333333;0,852459016;0,928571429;0,888888889;0,912280702;0,820073323;0,911158682;0,88;0,894117647;0,894117647;0,894117647;0,894117647;0,755656109;0,885972851;0,910036661;0,877828054
BERT_CNN_Trial_3_2024-12-30_14-58-22;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_4_2024-12-30_14-58-38;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_5_2024-12-30_14-59-17;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,52;0,43220339;0,910714286;0,586206897;0,745614035;0,233718874;0,681236736;0,666666667;0,633587786;0,976470588;0,768518519;0,881104034;0,354606885;0,779203738;0,616859437;0,677303442
BERT_CNN_Trial_6_2024-12-30_14-59-56;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,373333333;0,373333333;1;0,54368932;0,748663102;0;0,624331551;0,566666667;0,566666667;1;0,723404255;0,867346939;0;0,683673469;0,5;0,5
BERT_CNN_Trial_7_2024-12-30_15-00-23;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_8_2024-12-30_15-00-59;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,573333333;0,462962963;0,892857143;0,609756098;0,753012048;0,29714755;0,700792911;0,686666667;0,650793651;0,964705882;0,777251185;0,879828326;0,388991481;0,787162033;0,648573775;0,69449574
BERT_CNN_Trial_9_2024-12-30_15-01-29;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_0_2025-01-03_00-55-03;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,926666667;0,894736842;0,910714286;0,902654867;0,90747331;0,843923774;0,914717598;0,926666667;0,9625;0,905882353;0,933333333;0,916666667;0,85395199;0,921821331;0,921961887;0,926975995
BERT_CNN_Trial_1_2025-01-03_00-58-43;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_2_2025-01-03_00-59-16;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_3_2025-01-03_00-59-48;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_4_2025-01-03_01-00-12;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_0_2025-01-03_17-48-13;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,4;0,383561644;1;0,554455446;0,756756757;0,127756691;0,660317551;0,593333333;0,582191781;1;0,735930736;0,874485597;0,189280708;0,734562975;0,563878345;0,594640354
BERT_CNN_Trial_1_2025-01-03_17-48-43;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,866666667;0,75;0,964285714;0,84375;0,912162162;0,748185788;0,893127528;0,873333333;0,85106383;0,941176471;0,893854749;0,921658986;0,743567315;0,896721322;0,874092894;0,871783657
BERT_CNN_Trial_2_2025-01-03_17-49-26;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,886666667;0,80952381;0,910714286;0,857142857;0,888501742;0,767397087;0,886100143;0,913333333;0,891304348;0,964705882;0,926553672;0,949074074;0,825095013;0,93081079;0,883698543;0,912547507
BERT_CNN_Trial_3_2025-01-03_17-50-20;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,893333333;0,8125;0,928571429;0,866666667;0,902777778;0,783255493;0,897202762;0,866666667;0,865168539;0,905882353;0,885057471;0,897435897;0,727616039;0,880621958;0,891627746;0,863808019
BERT_CNN_Trial_4_2025-01-03_17-51-05;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_5_2025-01-03_17-51-27;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_6_2025-01-03_17-51-49;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,9;0,805970149;0,964285714;0,87804878;0,927835052;0,803628162;0,914824566;0,9;0,897727273;0,929411765;0,913294798;0,922897196;0,795935939;0,910432583;0,901814081;0,89796797
BERT_CNN_Trial_7_2025-01-03_17-52-20;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_8_2025-01-03_17-52-46;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,926666667;0,881355932;0,928571429;0,904347826;0,918727915;0,845710379;0,920791552;0,873333333;0,892857143;0,882352941;0,887573964;0,884433962;0,742615603;0,877870882;0,922855189;0,871307802
BERT_CNN_Trial_9_2025-01-03_17-53-32;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,666666667;0,53;0,946428571;0,679487179;0,817901235;0,458062691;0,77346629;0,76;0,713043478;0,964705882;0,82;0,901098901;0,535441833;0,834409909;0,729031345;0,767720917
BERT_CNN_Trial_0_2025-01-03_23-35-01;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,88;0,796875;0,910714286;0,85;0,885416667;0,755388243;0,881555394;0,933333333;0,931034483;0,952941176;0,941860465;0,948477752;0,864081047;0,940259138;0,877694122;0,932040523
BERT_CNN_Trial_1_2025-01-03_23-35-30;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,873333333;0,753424658;0,982142857;0,852713178;0,925925926;0,765133722;0,904246393;0,886666667;0,854166667;0,964705882;0,906077348;0,940366972;0,773573713;0,913576915;0,882566861;0,886786857
BERT_CNN_Trial_2_2025-01-03_23-35-50;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,773333333;0,641025641;0,892857143;0,746268657;0,82781457;0,576036846;0,807916496;0,826666667;0,786407767;0,952941176;0,861702128;0,914221219;0,656456716;0,871224789;0,788018423;0,828228358
BERT_CNN_Trial_3_2025-01-03_23-36-03;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_0_2025-01-04_00-45-06;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,950240317;0,930188679;0,90625;0,918063315;0,910938655;0,882497859;0,926093792;0,948261238;0,941463415;0,886948529;0,91339328;0,897340524;0,877344946;0,918006499;0,94124893;0,938672473
BERT_CNN_Trial_1_2025-01-04_00-51-45;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,93440769;0,888384755;0,899816176;0,894063927;0,897506417;0,846600981;0,910403454;0,92507775;0,89227836;0,860294118;0,875994385;0,866506203;0,822624894;0,888909325;0,923300491;0,911312447
BERT_CNN_Trial_2_2025-01-04_01-05-21;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,95250212;0,9315197;0,912683824;0,922005571;0,916389812;0,887960093;0,930184929;0,945716709;0,933268859;0,886948529;0,909519321;0,895841069;0,871358585;0,915760181;0,943980046;0,935679292
BERT_CNN_Trial_3_2025-01-04_01-12-50;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,94939214;0,918123275;0,917279412;0,917701149;0,91744806;0,881163286;0,929014852;0,942041278;0,913002806;0,897058824;0,904960593;0,900202915;0,863342482;0,915937078;0,940581643;0,931671241
BERT_CNN_Trial_4_2025-01-04_01-21-31;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,951088493;0,923219241;0,917279412;0,920239742;0,918461255;0,884979725;0,930475559;0,94628216;0,927619048;0,895220588;0,911131899;0,901517956;0,87293978;0,918993923;0,942489862;0,93646989
BERT_CNN_Trial_5_2025-01-04_01-31-23;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,940910376;0,904323827;0,903492647;0,903908046;0,903658761;0,861246481;0,917141001;0,935538592;0,90719697;0,880514706;0,893656716;0,885724852;0,8476184;0,904767026;0,930623241;0,9238092
BERT_CNN_Trial_6_2025-01-04_01-41-42;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,945999435;0,911090742;0,913602941;0,912345112;0,913099394;0,87332754;0,924881582;0,946847611;0,912844037;0,914522059;0,913682277;0,914185961;0,875284402;0,925914081;0,93666377;0,937642201
BERT_CNN_Trial_7_2025-01-04_01-46-13;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,948826689;0,921860465;0,910845588;0,916319926;0,913027455;0,879498764;0,926388419;0,939779474;0,923523717;0,876838235;0,899575672;0,885793872;0,857200465;0,907197052;0,939749382;0,928600233
BERT_CNN_Trial_8_2025-01-04_01-56-58;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,950523042;0,93434824;0,902573529;0,918186068;0,908754396;0,883011694;0,925130121;0,945716709;0,9375;0,882352941;0,909090909;0,892857143;0,871260244;0,914243632;0,941505847;0,935630122
BERT_CNN_Trial_9_2025-01-04_02-04-28;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949957591;0,915223336;0,922794118;0,918993135;0,921269958;0,88280598;0,931336474;0,943737631;0,9197356;0,895220588;0,907312529;0,900018481;0,867096463;0,916783356;0,94140299;0,933548232
BERT_CNN_Trial_10_2025-01-04_02-13-09;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,945433984;0,914735867;0,907169118;0,910936779;0,908672436;0,871621813;0,922241671;0,94317218;0,925215724;0,886948529;0,905678085;0,894346617;0,865435599;0,913532208;0,935810906;0,9327178
BERT_CNN_Trial_11_2025-01-04_02-23-55;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,952784846;0,930776427;0,914522059;0,922577654;0,917727357;0,888689005;0,931035929;0,944868533;0,923222749;0,895220588;0,909006066;0,900684298;0,869685984;0,917763645;0,944344502;0,934842992
BERT_CNN_Trial_12_2025-01-04_02-33-49;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949674866;0,919741697;0,916360294;0,918047882;0,917034584;0,881739464;0,928952158;0,94317218;0,918001885;0,895220588;0,906468125;0,899685941;0,865806169;0,916294513;0,940869732;0,932903084
BERT_CNN_Trial_13_2025-01-04_02-46-05;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,947978513;0,926415094;0,902573529;0,91433892;0,907243163;0,877148888;0,922908804;0,942041278;0,929892892;0,877757353;0,903073286;0,887711471;0,862513123;0,909484016;0,938574444;0,931256561
BERT_CNN_Trial_14_2025-01-04_02-55-58;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,934124965;0,894736842;0,890625;0,892676186;0,891444342;0,84515929;0,907011994;0,934690416;0,908484271;0,875919118;0,891904539;0,882244029;0,845426331;0,902478597;0,922579645;0,922713165
BERT_CNN_Trial_15_2025-01-04_03-02-58;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_16_2025-01-04_03-09-21;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_17_2025-01-04_03-16-38;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,952219395;0,929038282;0,914522059;0,92172302;0,917388899;0,887398535;0,930544083;0,945151258;0,928982726;0,889705882;0,908920188;0,897293289;0,870122231;0,916177202;0,943699268;0,935061116
BERT_CNN_Trial_18_2025-01-04_03-25-22;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,948826689;0,924228251;0,908088235;0,916087158;0,911270983;0,879350812;0,925473195;0,941475827;0,925603865;0,880514706;0,902496467;0,88917765;0,86127174;0,90990676;0,939675406;0,93063587
BERT_CNN_Trial_19_2025-01-04_03-32-53;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_20_2025-01-04_03-43-02;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,948826689;0,924228251;0,908088235;0,916087158;0,911270983;0,879350812;0,925473195;0,942324003;0,921755725;0,887867647;0,904494382;0,894444444;0,863513554;0,913100611;0,939675406;0,931756777
BERT_CNN_Trial_21_2025-01-04_03-51-46;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,953067571;0,930841121;0,915441176;0,923076923;0,918480266;0,889377074;0,931584401;0,945151258;0,928982726;0,889705882;0,908920188;0,897293289;0,870122231;0,916177202;0,944688537;0,935061116
BERT_CNN_Trial_22_2025-01-04_04-00-29;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,95250212;0,929104478;0,915441176;0,922222222;0,918141593;0,888087379;0,931092641;0,943454905;0,926103647;0,886948529;0,906103286;0,894512421;0,866090623;0,913778866;0,944043689;0,933045311
BERT_CNN_Trial_23_2025-01-04_04-09-14;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,953915748;0,929433612;0,920036765;0,924711316;0,921900903;0,891532129;0,933833483;0,94628216;0,926806084;0,896139706;0,911214953;0,902109548;0,872976152;0,919298812;0,945766064;0,936488076
BERT_CNN_Trial_24_2025-01-04_04-17-59;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,946847611;0,918994413;0,907169118;0,913043478;0,909509768;0,874810213;0,923457437;0,943454905;0,928571429;0,884191176;0,905838041;0,892724573;0,865998525;0,912861918;0,937405107;0,932999263
BERT_CNN_Trial_25_2025-01-04_04-24-38;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_26_2025-01-04_04-31-04;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_27_2025-01-04_04-39-34;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_28_2025-01-04_04-48-04;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_29_2025-01-04_04-54-30;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949957591;0,93422307;0,900735294;0,917173608;0,9072394;0,881640377;0,924029794;0,940627651;0,932938856;0,869485294;0,900095147;0,88147596;0,85901015;0,905490517;0,940820188;0,929505075
BERT_CNN_Trial_30_2025-01-04_05-01-11;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,947978513;0,913162706;0,918198529;0,915673694;0,917186926;0,878068618;0,928110618;0,94317218;0,918791313;0,894301471;0,906380997;0,899094437;0,865758859;0,915986933;0,939034309;0,93287943
BERT_CNN_Trial_31_2025-01-04_05-12-00;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_32_2025-01-04_05-20-30;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_33_2025-01-04_05-29-00;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,94939214;0,922790698;0,911764706;0,917244568;0,913948775;0,880830684;0,927182058;0,946847611;0,930210325;0,894301471;0,91190253;0,901259726;0,874214104;0,919183389;0,940415342;0,937107052
BERT_CNN_Trial_34_2025-01-04_05-37-45;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,95250212;0,929104478;0,915441176;0,922222222;0,918141593;0,888087379;0,931092641;0,944868533;0,922421949;0,896139706;0,909090909;0,901275652;0,869728059;0,918069841;0,944043689;0,93486403
BERT_CNN_Trial_35_2025-01-04_05-46-31;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_36_2025-01-04_05-56-45;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_37_2025-01-04_06-03-10;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949109415;0,926691729;0,90625;0,916356877;0,910265879;0,879905939;0,925109424;0,945433984;0,925784967;0,894301471;0,909770921;0,900425689;0,870946986;0,917949591;0,939952969;0,935473493
BERT_CNN_Trial_38_2025-01-04_06-11-54;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,951088493;0,932011331;0,907169118;0,91942245;0,912031048;0,884485316;0,927136853;0,943737631;0,924546323;0,889705882;0,906791569;0,896462308;0,866849145;0,91494344;0,942242658;0,933424573
BERT_CNN_Trial_39_2025-01-04_06-25-47;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,952219395;0,922723091;0,921875;0,922298851;0,922044493;0,887802221;0,932972802;0,944303082;0,915966387;0,901654412;0,908754053;0,904480915;0,868732031;0,919423465;0,94390111;0,934366016
BERT_CNN_Trial_40_2025-01-04_06-34-33;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,952784846;0,935666982;0,909007353;0,922144522;0,914217046;0,888464665;0,929224689;0,94317218;0,930164888;0,881433824;0,905143936;0,89076723;0,86525862;0,91169827;0,944232333;0,93262931
BERT_CNN_Trial_41_2025-01-04_06-45-23;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949957591;0,919043238;0,918198529;0,91862069;0,918367347;0,882491073;0,929806442;0,944585807;0,916044776;0,902573529;0,909259259;0,905235988;0,869425799;0,919974444;0,941245536;0,9347129
BERT_CNN_Trial_42_2025-01-04_06-54-08;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949674866;0,918968692;0,917279412;0,918123275;0,917616771;0,881797567;0,929257777;0,945999435;0,926736441;0,895220588;0,910705937;0,901351101;0,872287509;0,918747428;0,940898783;0,936143755
BERT_CNN_Trial_43_2025-01-04_07-02-53;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,948826689;0,913400182;0,920955882;0,917162471;0,919434759;0,880157126;0,929756661;0,944303082;0,916744621;0,900735294;0,908669448;0,903892271;0,868678592;0,919115783;0,940078563;0,934339296
BERT_CNN_Trial_44_2025-01-04_07-11-37;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_CNN_Trial_45_2025-01-04_07-20-06;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,953633022;0,93258427;0,915441176;0,92393321;0,918819188;0,890669733;0,932077027;0,944585807;0,922348485;0,895220588;0,90858209;0,900517751;0,869037483;0,917518246;0,945334866;0,934518741
BERT_CNN_Trial_46_2025-01-04_07-28-50;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,954763924;0,939393939;0,911764706;0,925373134;0,917159763;0,89313395;0,931863369;0,944868533;0,939036382;0,877757353;0,90736342;0,889364872;0,869185296;0,91197876;0,946566975;0,934592648
BERT_CNN_Trial_47_2025-01-04_07-35-30;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,950240317;0,911552347;0,928308824;0,919854281;0,924908425;0,883855346;0,933418049;0,94628216;0,917286245;0,907169118;0,91219963;0,90917465;0,873532685;0,922970496;0,941927673;0,936766342
